"ACCOUNT","ACCR_CATEG","QUESTION_LABEL","RESPONSE_2015","RESPONSE_2014","RESPONSE_2013","AVG_2015","AVG_2014","AVG_2013"
"Alabama SBD","Sources of Funding","State-Licensed Mortgage Providers","6.0","3.0","5.0",11.51,11.89,11.4
"Alabama SBD","Depository Information","Commercial Banks: Number Supervised","115","117","116",80.3,83.54,86.09
"Alabama SBD","Depository Information","Commercial Banks: Total Assets","244501298000","229775976000","217647821000",78498824339,68136896978,68383944036
"Alabama SBD","Depository Information","Industrial Loan Corporations: Total Assets","0","0","0",8949669664,8562281943,8645170722
"Alabama SBD","Depository Information","Non-depository Trust Companies: Number Supervised","2","3","3",7.41,7.22,7.2
"Alabama SBD","Depository Information","Non-depository Trust Companies: Total Assets","1277131000","5820728000","5258293000",33944527933,50384474720,671011628226
"Alabama SBD","Depository Information","Savings Banks/Savings and Loans: Number Supervised","0","0","0",9.13,9.16,9.38
"Alabama SBD","Depository Information","Total Assets (if supervised): Savings Banks","0","0","0",7960427954,7407111029,7158869878
"Alabama SBD","Application Information","Conversions from Federal Thrift to State Depository Institutions(Approved)","0","1","0",0.13,0.26,0
"Alabama SBD","Application Information","Conversions from Federal Thrift to State Thrift -- Approved","0","0","0",0.05,0.14,0.12
"Alabama SBD","Application Information","Conversions from National Bank to State Depository Institutions -- Approved","1","3","2",0.44,0.6,0.61
"Alabama SBD","Application Information","De Novo Bank Affiliated Trust Companies -- Approved","0","0","0",0.04,0.02,0.04
"Alabama SBD","Application Information","De Novo Independent Trust Companies -- Approved","0","0","0",0.54,0.23,0.27
"Alabama SBD","Application Information","De Novo State Bank Charters -- Approved","0","0","0",0.04,0,0.02
"Alabama SBD","Application Information","State Depository Institution Conversions to Federal Thrift Charters -- Approved","0","0","0",0,0,0
"Alabama SBD","Application Information","State Depository Institution Conversions to National Bank Charters -- Approved","0","0","0",0.04,0,0.04
"Alabama SBD","Examination Information","Bank Exams: Number of Concurrent Examinations","0","0","0",0.51,0.51,1.04
"Alabama SBD","Examination Information","Bank Exams: Number of Joint Examinations with Federal Lead","10","13","17",8.74,9.53,12.39
"Alabama SBD","Examination Information","Bank Exams: Number of Joint Examinations with State Lead","15","13","20",9.63,8.54,10.18
"Alabama SBD","Examination Information","Bank Exams: Number of State Only Independent Examinations","27","22","29",24,25.16,25.84
"Alabama SBD","Examination Information","Holding Company Enforcement Actions (End of the Year)","0","1","1",0.09,0.07,0.13
"Alabama SBD","Examination Information","Holding Company Enforcement Actions (Start of the Year)","1","1","1",0.13,0.11,0.14
"Alabama SBD","Examination Information","Holding Company Enforcement Actions Joint with Federal Agency (End of the Year)","8","9","10",1.38,2.04,2.88
"Alabama SBD","Examination Information","Holding Company Enforcement Actions Joint with Federal Agency (Start of the Year)","9","10","14",1.95,2.86,3.79
"Alabama SBD","Examination Information","Insured Depositories Enforcement Actions (End of the Year)","0","0","0",1.2,1.14,1.73
"Alabama SBD","Examination Information","Insured Depositories Enforcement Actions (Start of the Year)","0","0","0",1.43,1.84,2.21
"Alabama SBD","Examination Information","Insured Depositories Enforcement Actions Joint with Federal Agency (End of the Year)","21","20","29",9.5,13.43,16.5
"Alabama SBD","Examination Information","Insured Depositories Enforcement Actions Joint with Federal Agency (Start of the Year)","19","29","38",12.75,16.95,22.5
"Alabama SBD","Examination Information","Number of 4 and 5 rated banks (End of Year)","5","7","8",2.3,4.05,5.66
"Alabama SBD","Examination Information","Number of 4 and 5 rated banks (Start of Year)","7","8","9",4.09,6.14,8.27
"Alabama SBD","Examination Information","Number of failed institutions","0","0","0",0.13,0.14,0.3
"Alabama SBD","Examination Information","Total Number of Examinations -- Total","52","48","66",42.46,43.3,48.98
"Alabama SBD","Examination Information","Were examination frequency requirements met?","Yes","Yes","Yes",0.92,0.92,0.93
"Alabama SBD","Report Turnaround Information","Turnaround time (days): Independent Examinations","27","24","24",31.42,29.88,29.88
"Alabama SBD","Report Turnaround Information","Turnaround time (days): Joint Examinations with FDIC Lead","0","0","0",19.27,27.1,27.1
"Alabama SBD","Report Turnaround Information","Turnaround time (days): Joint Examinations with Federal Reserve Lead","0","0","0",39.98,38.04,38.04
"Alabama SBD","Report Turnaround Information","Turnaround time (days): Joint Examinations with State Lead","0","0","0",35.7,44.02,44.02
"Alabama SBD","Specialty Exams Information","BSA Exams: Number of Concurrent Examinations with the Federal Reserve","0","0","0",0.7,0.75,1.7
"Alabama SBD","Specialty Exams Information","BSA Exams: Number of Independent Examinations","27","22","29",23.55,27.66,25.89
"Alabama SBD","Specialty Exams Information","BSA Exams: Number of Joint Examinations with the Federal Reserve","25","26","37",17,17.79,19.57
"Alabama SBD","Specialty Exams Information","BSA Exams: Total Number of Examinations","52","48","66",40.53,45.39,46.33
"Alabama SBD","Specialty Exams Information","Bank Holding Companies: Number of Concurrent Examinations with the Federal Reserve","0","0","0",0,0.14,0.46
"Alabama SBD","Specialty Exams Information","Bank Holding Companies: Number of Independent Examinations","0","0","0",9.96,10.77,12.46
"Alabama SBD","Specialty Exams Information","Bank Holding Companies: Number of Joint Examinations with the Federal Reserve","2","3","0",1.59,1.7,3.2
"Alabama SBD","Specialty Exams Information","Bank Holding Companies: Total Number of Examinations","2","3","0",11.35,12.39,15.84
"Alabama SBD","Specialty Exams Information","Compliance Exams: Total Number of Examinations","0","0","0",43.58,42.79,47.21
"Alabama SBD","Specialty Exams Information","Does your department participate in FFIEC examinations of TSPs?","No","No","No",0.64,0.58,0.58
"Alabama SBD","Specialty Exams Information","Has your department implemented the CSBS/FS-ISAC/US Secret Service Corporate Account Takeover (CATO) Best Practices?","No","No","No",0.44,0.42,0.52
"Alabama SBD","Specialty Exams Information","Non-depository Trust: Total Number of Examinations","3","3","3",4.75,4.75,4.2
"Alabama SBD","Specialty Exams Information","Number of Concurrent IT Examinations -- Total","0","0","0",0.61,1.37,2.35
"Alabama SBD","Specialty Exams Information","Number of Joint IT Examinations -- Total","2","0","0",11.91,10.16,11.68
"Alabama SBD","Specialty Exams Information","Number of State Only Independent IT Examinations","0","0","0",18.32,18.77,0
"Alabama SBD","Specialty Exams Information","Number of State Only Independent IT Examinations -- Total","0","0","0",0,0,18.05
"Alabama SBD","Specialty Exams Information","Report Average Turnaround Time in Days","23","23","23",27.63,27.63,24.64
"Alabama SBD","Specialty Exams Information","Total Number of IT Examinations -- Total","2","0","0",30.53,29.96,31.77
"Alabama SBD","Workforce Information","FTE Actually Allocated: BSA Examiners","0","0","0",1.59,0,0
"Alabama SBD","Workforce Information","FTE Actually Allocated: Compliance Examiners","0","0","0",1.69,0,0
"Alabama SBD","Workforce Information","FTE Actually Allocated: Holding Company Examiners","0","0","0",0.02,0,0
"Alabama SBD","Workforce Information","FTE Actually Allocated: IS Examiners","0","0","0",1.41,0,0
"Alabama SBD","Workforce Information","FTE Actually Allocated: Other Examiners","4","0","0",4.33,0,0
"Alabama SBD","Workforce Information","FTE Actually Allocated: Safety and Soundness Examiners","60","0","0",33.94,0,0
"Alabama SBD","Workforce Information","FTE Actually Allocated: Trust Examiners","1","0","0",1.55,0,0
"Alabama SBD","Workforce Information","Other Cross-Trained: BSA Examiners","13","0","0",14.73,0,0
"Alabama SBD","Workforce Information","Other Cross-Trained: Compliance Examiners","2","0","0",1.1,0,0
"Alabama SBD","Workforce Information","Other Cross-Trained: Holding Company Examiners","0","0","0",5.71,0,0
"Alabama SBD","Workforce Information","Other Cross-Trained: IS Examiners","4","0","0",4.1,0,0
"Alabama SBD","Workforce Information","Other Cross-Trained: Other Examiners","0","0","0",1.57,0,0
"Alabama SBD","Workforce Information","Other Cross-Trained: Safety and Soundness Examiners","4","0","0",3.53,0,0
"Alabama SBD","Workforce Information","Other Cross-Trained: Trust Examiners","6","0","0",3.37,0,0
"Alabama SBD","Turnover Information","Examiner Turnover %","1.6","6.7","6.8",14.02,11.63,11.62
"Alabama SBD","Turnover Information","Reason: Death","0","0","0",0.04,0.04,0.11
"Alabama SBD","Turnover Information","Reason: Other","0","0","0",0.12,0.27,0.34
"Alabama SBD","Turnover Information","Reason: Promotion to Office","0","0","0",0.17,0.16,0.05
"Alabama SBD","Turnover Information","Reason: Resignation to work in a financial institution (bank, holding company, trust company, etc.)","1","1","0",0.94,0.84,0.89
"Alabama SBD","Turnover Information","Reason: Resignation to work in private sector other than a financial institution","0","0","2",0.6,0.33,0.4
"Alabama SBD","Turnover Information","Reason: Resignation to work with Federal Agency","0","0","0",0.42,0.47,0.65
"Alabama SBD","Turnover Information","Reason: Resignation with no reason given","0","0","1",0.75,0.69,0.42
"Alabama SBD","Turnover Information","Reason: Retirement","0","3","1",1.17,1.45,0.89
"Alabama SBD","Turnover Information","Reason: Termination","0","0","0",0.29,0.33,0.35
"Alabama SBD","Turnover Information","Reason: Transfer to work with other State Agency","0","0","0",0.29,0.16,0.2
"Alabama SBD","Turnover Information","Total Number of Examiners","65","64","60",41.75,49.16,40.96
"Alabama SBD","Years of Service","Number of Examiners: Experience 2 to 5 Yrs","10","10","7",8.67,10.27,6.16
"Alabama SBD","Years of Service","Number of Examiners: Experience <2 Yrs","10","13","10",8.02,10.05,7.05
"Alabama SBD","Years of Service","Number of Examiners: Experience > 25 Yrs","5","4","5",5.4,5.71,5.25
"Alabama SBD","Years of Service","Number of Examiners: Experience >15 to 25 Yrs","12","14","10",6.77,7.64,7.96
"Alabama SBD","Years of Service","Number of Examiners: Experience >5 to 15 Yrs","28","23","28",13.88,15.27,15.39
"Alabama SBD","Years of Service","Total Number of Examiners","65","64","60",41.75,49.16,40.96
"Alaska","General Agency Information","Credit Card Banks -- Authority to Supervise","No","No","No",0.52,0.52,0.51
"Alaska","General Agency Information","Credit Card Banks: Number Superviseded","0","0","0",0,0,0.16
"Alaska","General Agency Information","Credit Unions -- Authority to Supervise","Yes","Yes","Yes",0.67,0.67,0.67
"Alaska","General Agency Information","Credit Unions: Number Superviseded","1","0","1",42.52,0,45.95
"Alaska","General Agency Information","Does your department currently have a fee sharing agreement with another state?","No","No","0",0.64,0.64,0.14
"Alaska","General Agency Information","Does your department have a dedicated fund (e.g., a separate and distinct account from the state general fund?)","0","0","0",0,0,0
"Alaska","General Agency Information","Industrial Loan Corporations -- Number Supervised","0","0","0",0,0,0
"Alaska","General Agency Information","Industrial Loan Corporations -- NumberSupervised","0","0","0",0,0,0
"Alaska","General Agency Information","Is any part of your examination staff unionized?","Yes","Yes","Yes",0.38,0.38,0.38
"Alaska","General Agency Information","Is your department independent, or part of a larger agency?","Part of a Larger Agency","Part of a Larger Agency","Part of a Larger Agency",0.6,0.6,0.59
"Alaska","General Agency Information","Multi-Bank Holding Companies -- Authority to Supervise","No","No","Yes",0.43,0.43,0.59
"Alaska","General Agency Information","One Bank Holding Companies -- Authority to Supervise","Yes","Yes","Yes",0.64,0.64,0.64
"Alaska","Budget Information","Actual Expenditures","3255800","3388155","0",11851967,11071164,9704831
"Alaska","Budget Information","Amount Allocated to Commercial Bank Supervision","0","0","451000",4837836,0,4979506
"Alaska","Budget Information","Amount Returned to General Fund","11621400","12897288","0",83398256,10574719,10546900
"Alaska","Budget Information","Budgeted Training Expense","0","0","23207",159087,165044,154024
"Alaska","Budget Information","Dedicated Fund","No","No","0",0.26,0.3,0
"Alaska","Budget Information","Does your department charge an hourly bank examination fee?","No","No","No",0.59,0.56,0.5
"Alaska","Budget Information","Hourly Fee","0","0","0",0,0,30
"Alaska","Budget Information","If yes, does this include specialty examinations (e.g., Trust, IT, etc.)? -- Hourly Fee","0","0","0",0,0,49
"Alaska","Budget Information","Total Budget Approved","3586000","3622000","3608000",12759425,13042590,12791104
"Alaska","Sources of Funding","Insurance","0.0","0.0","0.0",0.76,0.82,0.82
"Alaska","Sources of Funding","Insured Depositories Below $10 Billion","0.0","0","0.0",39.68,0,40.92
"Alaska","Sources of Funding","Insured Depositories Over $10 Billion","0.0","2.0","0.0",9.76,9.07,10.81
"Alaska","Sources of Funding","Securities","0.0","92.0","0.0",7.46,8.41,7.04
"Alaska","Sources of Funding","State-Licensed Mortgage Providers","0.0","5.0","0.0",11.51,11.89,11.4
"Alaska","Depository Information","Commercial Banks: Number Supervised","3","3","3",80.3,83.54,86.09
"Alaska","Depository Information","Commercial Banks: Total Assets","2272809000","2198436000","1951089000",78498824339,68136896978,68383944036
"Alaska","Depository Information","Industrial Loan Corporations: Total Assets","0","0","0",0,0,0
"Alaska","Depository Information","Non-depository Trust Companies: Number Supervised","4","4","2",7.41,7.22,7.2
"Alaska","Depository Information","Non-depository Trust Companies: Total Assets","192390000","1016398000","785618403000",33944527933,50384474720,671011628226
"Alaska","Depository Information","Savings Banks/Savings and Loans: Number Supervised","1","1","1",9.13,9.16,9.38
"Alaska","Depository Information","Total Assets (if supervised): Savings Banks","398052000","353939000","339940000",7960427954,7407111029,7158869878
"Alaska","Application Information","Conversions from Federal Thrift to State Depository Institutions(Approved)","0","1","0",0.13,0.26,0
"Alaska","Application Information","Conversions from Federal Thrift to State Thrift -- Approved","0","0","0",0.05,0.14,0.12
"Alaska","Application Information","Conversions from National Bank to State Depository Institutions -- Approved","0","0","0",0.44,0.6,0.61
"Alaska","Application Information","De Novo Bank Affiliated Trust Companies -- Approved","0","0","0",0.04,0.02,0.04
"Alaska","Application Information","De Novo Independent Trust Companies -- Approved","0","0","0",0.54,0.23,0.27
"Alaska","Application Information","De Novo State Bank Charters -- Approved","0","0","0",0.04,0,0.02
"Alaska","Application Information","State Depository Institution Conversions to Federal Thrift Charters -- Approved","0","0","0",0,0,0
"Alaska","Application Information","State Depository Institution Conversions to National Bank Charters -- Approved","0","0","0",0.04,0,0.04
"Alaska","Examination Information","Bank Exams: Number of Concurrent Examinations","0","0","0",0.51,0.51,1.04
"Alaska","Examination Information","Bank Exams: Number of Joint Examinations with Federal Lead","4","2","2",8.74,9.53,12.39
"Alaska","Examination Information","Bank Exams: Number of Joint Examinations with State Lead","0","1","0",9.63,8.54,10.18
"Alaska","Examination Information","Bank Exams: Number of State Only Independent Examinations","0","0","0",24,25.16,25.84
"Alaska","Examination Information","Holding Company Enforcement Actions (End of the Year)","0","0","0",0.09,0.07,0.13
"Alaska","Examination Information","Holding Company Enforcement Actions (Start of the Year)","0","0","0",0.13,0.11,0.14
"Alaska","Examination Information","Holding Company Enforcement Actions Joint with Federal Agency (End of the Year)","0","0","0",1.38,2.04,2.88
"Alaska","Examination Information","Holding Company Enforcement Actions Joint with Federal Agency (Start of the Year)","0","0","0",1.95,2.86,3.79
"Alaska","Examination Information","Insured Depositories Enforcement Actions (End of the Year)","0","0","0",1.2,1.14,1.73
"Alaska","Examination Information","Insured Depositories Enforcement Actions (Start of the Year)","0","0","0",1.43,1.84,2.21
"Alaska","Examination Information","Insured Depositories Enforcement Actions Joint with Federal Agency (End of the Year)","0","0","0",9.5,13.43,16.5
"Alaska","Examination Information","Insured Depositories Enforcement Actions Joint with Federal Agency (Start of the Year)","0","0","0",12.75,16.95,22.5
"Alaska","Examination Information","Number of 4 and 5 rated banks (End of Year)","0","0","0",2.3,4.05,5.66
"Alaska","Examination Information","Number of 4 and 5 rated banks (Start of Year)","0","0","0",4.09,6.14,8.27
"Alaska","Examination Information","Number of failed institutions","0","0","0",0.13,0.14,0.3
"Alaska","Examination Information","Total Number of Examinations -- Total","4","3","2",42.46,43.3,48.98
"Alaska","Examination Information","Were examination frequency requirements met?","Yes","Yes","Yes",0.92,0.92,0.93
"Alaska","Report Turnaround Information","Turnaround time (days): Independent Examinations","0","0","0",31.42,29.88,29.88
"Alaska","Report Turnaround Information","Turnaround time (days): Joint Examinations with FDIC Lead","0","0","0",19.27,27.1,27.1
"Alaska","Report Turnaround Information","Turnaround time (days): Joint Examinations with Federal Reserve Lead","69","40","40",39.98,38.04,38.04
"Alaska","Report Turnaround Information","Turnaround time (days): Joint Examinations with State Lead","0","93","93",35.7,44.02,44.02
"Alaska","Specialty Exams Information","BSA Exams: Number of Concurrent Examinations with the Federal Reserve","0","0","0",0.7,0.75,1.7
"Alaska","Specialty Exams Information","BSA Exams: Number of Independent Examinations","0","0","0",23.55,27.66,25.89
"Alaska","Specialty Exams Information","BSA Exams: Number of Joint Examinations with the Federal Reserve","0","0","0",17,17.79,19.57
"Alaska","Specialty Exams Information","BSA Exams: Total Number of Examinations","0","0","0",40.53,45.39,46.33
"Alaska","Specialty Exams Information","Bank Holding Companies: Number of Concurrent Examinations with the Federal Reserve","0","0","0",0,0.14,0.46
"Alaska","Specialty Exams Information","Bank Holding Companies: Number of Independent Examinations","3","2","2",9.96,10.77,12.46
"Alaska","Specialty Exams Information","Bank Holding Companies: Number of Joint Examinations with the Federal Reserve","0","0","0",1.59,1.7,3.2
"Alaska","Specialty Exams Information","Bank Holding Companies: Total Number of Examinations","3","2","2",11.35,12.39,15.84
"Alaska","Specialty Exams Information","Compliance Exams: Total Number of Examinations","0","0","0",43.58,42.79,47.21
"Alaska","Specialty Exams Information","Does your department participate in FFIEC examinations of TSPs?","No","No","No",0.64,0.58,0.58
"Alaska","Specialty Exams Information","Has your department implemented the CSBS/FS-ISAC/US Secret Service Corporate Account Takeover (CATO) Best Practices?","No","No","No",0.44,0.42,0.52
"Alaska","Specialty Exams Information","Non-depository Trust: Total Number of Examinations","2","2","2",4.75,4.75,4.2
"Alaska","Specialty Exams Information","Number of Concurrent IT Examinations -- Total","0","0","0",0.61,1.37,2.35
"Alaska","Specialty Exams Information","Number of Joint IT Examinations -- Total","0","0","0",11.91,10.16,11.68
"Alaska","Specialty Exams Information","Number of State Only Independent IT Examinations","0","0","0",18.32,18.77,0
"Alaska","Specialty Exams Information","Number of State Only Independent IT Examinations -- Total","0","0","0",0,0,18.05
"Alaska","Specialty Exams Information","Report Average Turnaround Time in Days","22","22","22",27.63,27.63,24.64
"Alaska","Specialty Exams Information","Total Number of IT Examinations -- Total","0","0","0",30.53,29.96,31.77
"Alaska","Workforce Information","FTE Actually Allocated: BSA Examiners","0","0","0",1.59,0,0
"Alaska","Workforce Information","FTE Actually Allocated: Compliance Examiners","0","0","0",1.69,0,0
"Alaska","Workforce Information","FTE Actually Allocated: Holding Company Examiners","0","0","0",0.02,0,0
"Alaska","Workforce Information","FTE Actually Allocated: IS Examiners","0","0","0",1.41,0,0
"Alaska","Workforce Information","FTE Actually Allocated: Other Examiners","0","0","0",4.33,0,0
"Alaska","Workforce Information","FTE Actually Allocated: Safety and Soundness Examiners","4","0","0",33.94,0,0
"Alaska","Workforce Information","FTE Actually Allocated: Trust Examiners","0","0","0",1.55,0,0
"Alaska","Workforce Information","Other Cross-Trained: BSA Examiners","1","0","0",14.73,0,0
"Alaska","Workforce Information","Other Cross-Trained: Compliance Examiners","0","0","0",1.1,0,0
"Alaska","Workforce Information","Other Cross-Trained: Holding Company Examiners","0","0","0",5.71,0,0
"Alaska","Workforce Information","Other Cross-Trained: IS Examiners","0","0","0",4.1,0,0
"Alaska","Workforce Information","Other Cross-Trained: Other Examiners","0","0","0",1.57,0,0
"Alaska","Workforce Information","Other Cross-Trained: Safety and Soundness Examiners","3","0","0",3.53,0,0
"Alaska","Workforce Information","Other Cross-Trained: Trust Examiners","0","0","0",3.37,0,0
"Alaska","Turnover Information","Examiner Turnover %","25","25","25",14.02,11.63,11.62
"Alaska","Turnover Information","Reason: Death","0","0","0",0.04,0.04,0.11
"Alaska","Turnover Information","Reason: Other","0","0","1",0.12,0.27,0.34
"Alaska","Turnover Information","Reason: Promotion to Office","0","0","0",0.17,0.16,0.05
"Alaska","Turnover Information","Reason: Resignation to work in a financial institution (bank, holding company, trust company, etc.)","0","0","0",0.94,0.84,0.89
"Alaska","Turnover Information","Reason: Resignation to work in private sector other than a financial institution","0","0","0",0.6,0.33,0.4
"Alaska","Turnover Information","Reason: Resignation to work with Federal Agency","0","0","0",0.42,0.47,0.65
"Alaska","Turnover Information","Reason: Resignation with no reason given","0","0","0",0.75,0.69,0.42
"Alaska","Turnover Information","Reason: Retirement","0","0","0",1.17,1.45,0.89
"Alaska","Turnover Information","Reason: Termination","0","0","0",0.29,0.33,0.35
"Alaska","Turnover Information","Reason: Transfer to work with other State Agency","1","1","0",0.29,0.16,0.2
"Alaska","Turnover Information","Total Number of Examiners","4","3","3",41.75,49.16,40.96
"Alaska","Years of Service","Number of Examiners: Experience 2 to 5 Yrs","1","1","1",8.67,10.27,6.16
"Alaska","Years of Service","Number of Examiners: Experience <2 Yrs","2","0","0",8.02,10.05,7.05
"Alaska","Years of Service","Number of Examiners: Experience > 25 Yrs","0","0","0",5.4,5.71,5.25
"Alaska","Years of Service","Number of Examiners: Experience >15 to 25 Yrs","0","0","1",6.77,7.64,7.96
"Alaska","Years of Service","Number of Examiners: Experience >5 to 15 Yrs","1","2","1",13.88,15.27,15.39
"Alaska","Years of Service","Total Number of Examiners","4","3","3",41.75,49.16,40.96
"Arizona","General Agency Information","Credit Card Banks -- Authority to Supervise","No","No","No",0.52,0.52,0.51
"Arizona","General Agency Information","Credit Card Banks: Number Superviseded","0","0","0",0,0,0.16
"Arizona","General Agency Information","Credit Unions -- Authority to Supervise","Yes","Yes","Yes",0.67,0.67,0.67
"Arizona","General Agency Information","Credit Unions: Number Superviseded","20","0","20",42.52,0,45.95
"Arizona","General Agency Information","Does your department currently have a fee sharing agreement with another state?","Yes","Yes","Yes",0.3,0.3,0.3
"Arizona","General Agency Information","Does your department have a dedicated fund (e.g., a separate and distinct account from the state general fund?)","0","0","0",0,0,0
"Arizona","General Agency Information","Industrial Loan Corporations -- Number Supervised","0","0","0",0,0,0
"Arizona","General Agency Information","Industrial Loan Corporations -- NumberSupervised","0","0","0",0,0,0
"Arizona","General Agency Information","Is any part of your examination staff unionized?","No","No","No",0.63,0.63,0.63
"Arizona","General Agency Information","Is your department independent, or part of a larger agency?","Independent","Independent","Independent",0.4,0.4,0.41
"Arizona","General Agency Information","Multi-Bank Holding Companies -- Authority to Supervise","Yes","Yes","Yes",0.57,0.57,0.59
"Arizona","General Agency Information","One Bank Holding Companies -- Authority to Supervise","Yes","Yes","Yes",0.64,0.64,0.64
"Arizona","Budget Information","Actual Expenditures","4138811","3893667","3707071",11851967,11071164,9704831
"Arizona","Budget Information","Amount Allocated to Commercial Bank Supervision","506544","503476","495297",4837836,5336813,4979506
"Arizona","Budget Information","Amount Returned to General Fund","2861952","2322126","1820425",83398256,10574719,10546900
"Arizona","Budget Information","Budgeted Training Expense","0","0","0",159087,165044,154024
"Arizona","Budget Information","Dedicated Fund","Yes","Yes","0",0.74,0.7,0
"Arizona","Budget Information","Does your department charge an hourly bank examination fee?","No","No","No",0.59,0.56,0.5
"Arizona","Budget Information","Hourly Fee","0","0","0",0,0,30
"Arizona","Budget Information","If yes, does this include specialty examinations (e.g., Trust, IT, etc.)? -- Hourly Fee","0","0","0",0,0,49
"Arizona","Budget Information","Total Budget Approved","5287100","4267600","3955800",12759425,13042590,12791104
"Arizona","Sources of Funding","Insurance","0.0","0.0","0.0",0.76,0.82,0.82
"Arizona","Sources of Funding","Insured Depositories Below $10 Billion","9.8","13.5","14.7",39.68,42.14,40.92
"Arizona","Sources of Funding","Insured Depositories Over $10 Billion","6.1","0.0","0.0",9.76,9.07,10.81
"Arizona","Sources of Funding","Securities","0.0","0.0","0.0",7.46,8.41,7.04
"Arizona","Sources of Funding","State-Licensed Mortgage Providers","51.1","52.6","51.1",11.51,11.89,11.4
"Arizona","Depository Information","Commercial Banks: Number Supervised","12","12","14",80.3,83.54,86.09
"Arizona","Depository Information","Commercial Banks: Total Assets","16707292000","12734029000","11691263000",78498824339,68136896978,68383944036
"Arizona","Depository Information","Industrial Loan Corporations: Total Assets","0","0","0",0,0,0
"Arizona","Depository Information","Non-depository Trust Companies: Number Supervised","5","5","3",7.41,7.22,7.2
"Arizona","Depository Information","Non-depository Trust Companies: Total Assets","24075749000","16996447817","15708215577000",33944527933,50384474720,671011628226
"Arizona","Depository Information","Savings Banks/Savings and Loans: Number Supervised","0","0","0",9.13,9.16,9.38
"Arizona","Depository Information","Total Assets (if supervised): Savings Banks","0","0","0",7960427954,7407111029,7158869878
"Arizona","Application Information","Conversions from Federal Thrift to State Depository Institutions(Approved)","0","0","0",0.13,0.26,0
"Arizona","Application Information","Conversions from Federal Thrift to State Thrift -- Approved","0","0","0",0.05,0.14,0.12
"Arizona","Application Information","Conversions from National Bank to State Depository Institutions -- Approved","0","0","0",0.44,0.6,0.61
"Arizona","Application Information","De Novo Bank Affiliated Trust Companies -- Approved","0","0","0",0.04,0.02,0.04
"Arizona","Application Information","De Novo Independent Trust Companies -- Approved","2","1","1",0.54,0.23,0.27
"Arizona","Application Information","De Novo State Bank Charters -- Approved","0","0","0",0.04,0,0.02
"Arizona","Application Information","State Depository Institution Conversions to Federal Thrift Charters -- Approved","0","0","0",0,0,0
"Arizona","Application Information","State Depository Institution Conversions to National Bank Charters -- Approved","0","0","0",0.04,0,0.04
"Arizona","Examination Information","Bank Exams: Number of Concurrent Examinations","0","0","0",0.51,0.51,1.04
